Inter_ID,fitted_a,scale_adjust_factor,scaled_a,fitted_h,fitted_w
1,1.6563576066361672,244.04924165509252,404.23281780920064,0.11905660965254977,171.62982287753815
2,0.4020269967092543,1813.8817170859431,729.229419105887,0.010639190823993028,436.79380023432077
3,0.43539308399593213,160.0,69.66289343934915,0.05154944532582472,12.16109297205295
4,0.7745590402896105,106.8,82.7229055029304,0.25104803748122884,64.77777457782034
5,0.51850153737737,213.6,110.75192838380623,0.26970242225916236,75.78175920444313
6,0.15489816527052577,1900.2375296912114,294.3433069273649,0.003690402495299416,234.57170116002555
7,0.20727288973867483,1904.7619047619048,394.80550426414254,0.02046019947139633,510.8076066222858
8,0.20493483396259407,1904.7619047619048,390.35206469065537,0.018497658062989066,352.4902062513408
9,0.20159410090803695,1904.7619047619048,383.98876363435613,0.03894960718896956,504.7178778768422
10,1.9334247141517131,10.717195092168113,20.720889857583277,0.04762354793778637,19.6596613622915
11,2.7819969305294037,18.0848242359277,50.31192551351463,0.11659945343134484,77.82116045549478
12,0.4048754587365219,5077.926462068342,2055.9278057602437,0.013619957876124094,3530.7739403064766
13,0.40726228553062976,2203.8758657336516,897.5555221044823,0.07673866959099375,1547.037934058459
14,0.21121549840758685,338.43239952368145,71.48216794266993,0.0001732938375696365,442.4254091766565
15,0.30207819699794974,326.4417845484222,98.61094570118055,6.409465575484043e-7,0.00034592016343047217
16,0.1952647206678946,172043.01075268816,33593.930437487244,0.0022352565669864076,4879.624973949713
17,0.24605759687410683,172043.01075268816,42332.48978479257,0.0016240787001180637,6807.116743292926
18,0.1789118743387861,309677.41935483867,55404.967537172466,0.0007351371145923627,797.9838930394839
19,0.31584245923016835,361290.32258064515,114110.82397993178,0.002520712951314941,1380.1506945045383
20,1.9346982412345766,183.37658975612874,354.77836568477676,0.3808868776398771,283.2757522723676
21,0.5722634952958926,179.06634412874374,102.47313198097203,0.1142741501718089,131.4684037686984
22,0.03405844287137851,668.3365879547745,22.762503499709727,0.05526021386768166,19.53857736288751
23,0.25096668459292815,572.4682369735996,143.67045546802302,0.04833252646528404,93.9815360045763
24,0.5934534261004313,621.4156046359859,368.7812196034969,0.05573000044322929,48.48707624141729
25,0.0749737486929093,25120.760267188933,1883.3975672470442,0.03756887839088856,27808.332384153622
26,0.5241211192046685,1.3420021056271235e6,703371.6455763098,0.0018426762022914361,429.82404758423115
27,0.27754296222674013,3.5795795795795796e6,993487.1200428656,0.5556027396716696,8.62245788155503e6
28,0.5255478551675594,113.22146426969414,59.50329770586822,0.004274476439005497,6.281482039562828
29,0.6712288982173547,11422.52871180294,7667.131362079586,0.02550754089757608,6232.1940045634765
30,4.791707591712417,1026.1018797273941,4916.780166960136,0.18137844831924868,4052.4126413607705
31,0.22467510268421892,216216.2162162162,48578.40058037166,0.00042351570610212746,1505.4486467845848
32,0.13131260486226276,216216.2162162162,28391.91456481357,0.0005127559331703856,449.22297789887864
33,0.28081801535749146,1045.8015267175572,293.679909190659,0.06335999359613323,105.63822815990197
34,0.33703103394193124,1201.0178117048345,404.78027486155605,0.008032364719082481,180.75714099102842
35,0.5709901617893303,15.441696113074206,8.817056561905913,0.011399267341586092,0.014337903778614285
36,0.05178356735357931,1350.7565337001377,69.9469919411484,0.00024949705906899985,0.03141980962272771
37,0.8583593187195391,159.50413223140498,136.91185827510006,0.01993029319122126,5.015670527104995
38,NaN,NaN,NaN,NaN,NaN
39,0.7183385844350385,353.44827586206895,253.8955341537636,0.157515021087445,187.0456230678121
40,0.8472065677594209,372.9729729729729,315.9851522994596,0.2034213669516331,202.10314183583452
41,0.6026710590853923,343.44023323615164,206.98148909696567,0.13496796021402657,164.749450280849
42,0.9128710515690198,345.6140350877193,315.5010476475384,0.17462586502107308,237.3814618723083
43,0.6317450702328934,575.0,363.2534153839137,0.07016342327467698,709.5575415033696
